book_id,title,price,rating,availability
d6ed0cc7f373,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,Three,In stock
3a89d0bd8ff2,Aladdin and His Wonderful Lamp,£53.13,Three,In stock
5f83e77d51bc,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,Five,In stock
4c663c61d633,Wall and Piece,£44.18,Four,In stock
ffaf7babebe8,The Four Agreements: A Practical Guide to Personal Freedom,£17.66,Five,In stock
a5d896233a8b,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,Three,In stock
e0591534a79f,The Elephant Tree,£23.82,Five,In stock
f315de25b0e9,The Bear and the Piano,£36.89,One,In stock
3790964a09f1,Sophie's World,£15.94,Five,In stock
d876fd143d37,Penny Maybe,£33.29,Three,In stock
f610bab15f0d,Maude (1883-1993):She Grew Up with the country,£18.02,Two,In stock
c608e652572f,"In a Dark, Dark Wood",£19.63,One,In stock
5796e0419ea6,Behind Closed Doors,£52.22,Four,In stock
84d2bde42f57,You can't bury them all: Poems,£33.63,Two,In stock
b8b943762513,Slow States of Collapse: Poems,£57.31,Three,In stock
b07e51e67605,Reasons to Stay Alive,£26.41,Two,In stock
347104404b4e,Private Paris (Private #10),£47.61,Five,In stock
d56614307fab,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,Five,In stock
c5cadf16240a,Without Borders (Wanderlove #1),£45.07,Two,In stock
5a4114efdcf7,When We Collided,£31.77,One,In stock
688d35870dbc,"We Love You, Charlie Freeman",£50.27,Five,In stock
6e1e84ff10c2,Untitled Collection: Sabbath Poems 2014,£14.27,Four,In stock
3902cd9b8a1d,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,Four,In stock
db7d14a02205,Unicorn Tracks,£18.78,Three,In stock
b57dc00dd851,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,One,In stock
3fd3e92ef0f3,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,One,In stock
fb95ccb6a037,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,Three,In stock
73c82279b74a,This One Summer,£19.49,Four,In stock
5aaf38d738ec,Thirst,£17.27,Five,In stock
fa0711b4903f,The Torch Is Passed: A Harding Family Story,£19.09,One,In stock
38c7e1b3bc32,The Secret of Dreadwillow Carse,£56.13,One,In stock
0c02e57d508c,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,One,In stock
45b2d5cb5fe2,The Past Never Ends,£56.50,Four,In stock
af85018a0630,The Natural History of Us (The Fine Art of Pretending #2),£45.22,Three,In stock
ef536ea732e2,The Nameless City (The Nameless City #1),£38.16,Four,In stock
57c8b2113afc,The Murder That Never Was (Forensic Instincts #5),£54.11,Three,In stock
74f4571efd79,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,Four,In stock
3089a5bf1a26,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,Four,In stock
d93a3ba026a6,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,Three,In stock
0234c80bc624,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,Five,In stock
1e456a219d30,The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,One,In stock
85d3ccea1dfa,The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,One,In stock
cf41012d727b,The Death of Humanity: and the Case for Life,£58.11,Four,In stock
cc2fa8867831,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,Three,In stock
c8f9a3841dd6,The Art Forger,£40.76,Three,In stock
2d9a5bad80d7,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,One,In stock
d9aef8c291be,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,Five,In stock
0499d932e0d6,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,Four,In stock
b12b3f8a1af5,Soul Reader,£39.58,Two,In stock
bbca208949c4,Security,£39.25,Two,In stock
6ca3c2342e58,"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,Three,In stock
32bddeba1aaf,"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,Two,In stock
d53b06e69bfb,Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,Two,In stock
a5ef011ecf2d,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,Three,In stock
9c28956da9a6,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,Five,In stock
9289f95db2f0,Princess Between Worlds (Wide-Awake Princess #5),£13.34,Five,In stock
674ad21eda56,"Pop Gun War, Volume 1: Gift",£18.97,One,In stock
91adc08c1b0a,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,Two,In stock
644a9eaca206,Patience,£10.16,Three,In stock
09d870e90c9b,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,Four,In stock
550a7e6ef961,orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,One,In stock
b114f244b5c8,Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,One,In stock
c626552186d9,On a Midnight Clear,£14.07,Three,In stock
5463c92a0300,Obsidian (Lux #1),£14.86,Two,In stock
5f9288e3df91,My Paris Kitchen: Recipes and Stories,£33.37,Two,In stock
ae1313e824e2,Masks and Shadows,£56.40,Two,In stock
e9c75680c648,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,Four,In stock
9d8ac38ca0f6,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,Two,In stock
2ec93f934931,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,Three,In stock
ea5dced83d8f,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,Two,In stock
567cc7e9dccd,"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,One,In stock
4c01a216edb3,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,Two,In stock
6faaa3b624b5,Join,£35.67,Five,In stock
e66b5e903baf,In the Country We Love: My Family Divided,£22.00,Four,In stock
